keyword;page;sku_name;price;sold;gmv_estimation
Matoa;5;BUY 1 GET 1 King Fruit Durian Premium Super Montong Duren;230000;1000;230000000
Matoa;5;buah matoa fresh tiga varian rasa;75000;2;150000
Matoa;5;Bibit Matoa Manis Unggul Siap Tanam Harga Murah;15000;10;150000
Matoa;5;Promo Bibit Tanaman Buah Matoa Hasil Cangkok Terlaris;161000;0;0
Matoa;5;3 BUTIR BIJI/BENIH BUAH MATOA | LEUNGSIR | POMETIA PINNATA;4900;0;0
Matoa;5;PROMO BIBIT TANAMAN MATOA BIBIT MATOA SUPER ASLI PAPUA;38400;0;0
Matoa;5;Diskon Bibit Matoa Merah 1,5M;310000;0;0
Matoa;5;bibit tanaman buah matoa super okulasi EE15;23000;0;0
Matoa;5;Buah Matoa Fresh Dari Papua ;78000;1;78000
Matoa;5;Bibit Pohon Matoa - Buah Mirip Kelengkeng Aroma Durian - Khas Papua;30000;1;30000
Matoa;5;BIBIT TANAMAN/POHON MATOA UNGGUL SIAP TANAM zzzzz;8000;0;0
Matoa;5;Buah matoa / segar / 500 gram;50074;2;100148
Matoa;5;Spesial Bibit Tanaman Buah Matoa Unggul Hasil Cangkok/Sambung;71000;0;0
Matoa;5;Diskon Bibit Matoa Asli Bergaransi, Pohon Buah Matoa Unggul Valid;103000;0;0
Matoa;5;bibit matoa;5500;0;0
Matoa;5;bibit buah matoa papua super genjah(beli 5 gratis 1);7000;0;0
Matoa;5;🔅 Buah Matoa Papua Segar Manis Fresh;32000;0;0
Matoa;5;Terlaris Bibit Matoa Jumbo Super Unggul Cepat Berbuah;14000;0;0
Matoa;5;Miliki Bibit Matoa Merah 1,5M;315000;0;0
Matoa;5;New Bibit Matoa Merah 1,5M Top Quality;360000;0;0
Matoa;5;Pometia Pinnata | Pohon Buah Matoa Island Lychee | Tambulapot Bonsai;95000;0;0
Matoa;5;buah matoa 1 kg segar dari papua;55000;0;0
Matoa;5;Terjangkau Bibit Pohon Matoa(2Meter )Siap Berbuah;630000;0;0
Matoa;5;Buah Matoa 500gr;55900;0;0
Matoa;5;Bibit tanaman buah matoa;35000;3;105000
Matoa;5;TERBAIK POOLLL Terlaris Bibit matoa mentoa rasa durian rambutan FRESS;15000;0;0
Matoa;5;bibit buah matoa unggul berkualitas;33000;1;33000
Matoa;5;BARANG TERLARIS BIBIT MATOA MERAH 1,5M READYY;280000;0;0
Matoa;5;HARGA DI BANTING Terlaris KWALITAS TERBAIK Bibit Tanaman Buah Matoa;21000;0;0
Matoa;5;Buah Matoa Madu | Matoa Madu Manis 500 Grm;55800;3;167400
